Index,Index,autores,data_apresentacao,ementa,proposicao,situacoes,urls
0,0, Jair Bolsonaro - PSL/RJ.,2018-04-27,"Sugere a adoção de medidas necessárias para que seja garantido o direito a horário especial, sem necessidade de compensação, aos Militares das Forças Armadas que tenham cônjuge, filho ou dependente com deficiência de qualquer natureza.",INC-5172/2018,Aguardando Resposta ,Prop_Detalhe.asp?id=2173629
1,1, Jair Bolsonaro - PSC/RJ.,2018-02-19,Estabelece a excludente de ilicitude nas ações de agentes públicos em operação sob intervenção federal destinada a pôr termo a grave comprometimento da ordem pública.,PL-9564/2018,Aguardando Parecer,Prop_Detalhe.asp?id=2168058
2,2," Alberto Fraga - DEM/DF,Rocha - PSDB/AC,Magda Mofatto - PR/GO,Jair Bolsonaro - PSC/RJ,Capitão Augusto - PR/SP,Cabo Sabino - PR/CE,Subtenente Gonzaga - PDT/MG,Major Olimpio - SD/SP,Eduardo Bolsonaro - PSC/SP.",2018-03-21,"Altera a lei nº 4.737, de 15 de julho de 1965, código eleitoral, quanto ao voto em trânsito para os membros das Forças Armadas, os integrantes dos órgãos de segurança pública a que se refere o art. 144 da Constituição Federal, bem como os integrantes das guardas municipais mencionados no § 8o do mesmo art. 144.",PL-9852/2018,Tramitando em Conjunto,Prop_Detalhe.asp?id=2169921
3,3," Delegado Francischini - SD/PR,Jair Bolsonaro - PSL/RJ.",2018-03-27,"REVOGA a Lei 7.474, de 8 de maio de 1986, que ""dispõe sobre medidas de segurança aos ex-Presidentes da República, e dá outras providências"". (FIM DE PRIVILÉGIOS)",PL-9895/2018,Tramitando em Conjunto,Prop_Detalhe.asp?id=2170476
4,4, Jair Bolsonaro - PSC/RJ.,2017-06-28,Dá nova redação do item 2.2.1,EMC-5/2017 CMO => RPL-1 CMO,,Prop_Detalhe.asp?id=2142832
5,5, Jair Bolsonaro - PSC/RJ.,2017-08-07,Dá nova redação à MPV 793/2017,EMC-586/2017 MPV79317 => MPV-793/2017,,Prop_Detalhe.asp?id=2161701
6,6, Jair Bolsonaro - PSC/RJ.,2017-08-07,Dá nova redação à MPV 793/2017,EMC-587/2017 MPV79317 => MPV-793/2017,,Prop_Detalhe.asp?id=2161702
7,7, Jair Bolsonaro - PSC/RJ.,2017-05-23,"Sugere a apresentação de Proposição que vise alterar a alínea ""g"", do inciso I, do art. 2º da Lei nº 11.421, de 21 de dezembro de 2006, para atualizar o valor mínimo a ser pago a título de auxílio-invalidez aos militares.

",INC-3488/2017,Aguardando Remessa ao Arquivo,Prop_Detalhe.asp?id=2138821
8,8, Jair Bolsonaro - PSC/RJ.,2017-07-12,Acresce inciso IV ao artigo 102 da Constituição Federal para conferir apenas ao Supremo Tribunal Federal a suspensão de aplicativos de troca de informações via internet.,PEC-347/2017,Pronta para Pauta,Prop_Detalhe.asp?id=2145182
9,9, Jair Bolsonaro - PSC/RJ.,2017-02-16,"Altera a Lei nº 12.965, de 23 de abril de 2014, que estabelece princípios, garantias, direitos e deveres para o uso da Internet no Brasil, para vedar a oferta de pacotes com franquias limitadas de dados.",PL-6944/2017,Tramitando em Conjunto,Prop_Detalhe.asp?id=2123883
